"Municipio";"2005/Dez";"2006/Dez";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Dez";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez";"2021/Dez";"2022/Dez";"2023/Dez";"2024/Dez"
"231170 RERIUTABA";7;7;7;7;7;7;7;7;7;8;10;15;15;15;15;16;20;20;20;21
"231180 RUSSAS";23;33;36;38;41;53;52;57;62;66;70;76;79;79;81;85;90;94;102;107
"231190 SABOEIRO";6;6;6;6;8;9;10;10;11;12;13;13;13;14;14;15;15;15;18;19
"231195 SALITRE";5;5;7;7;7;7;10;11;15;16;17;18;21;21;21;23;23;23;23;22
"231200 SANTANA DO ACARAU";12;14;15;15;15;15;15;15;16;16;16;16;16;17;17;19;21;22;22;24
"231210 SANTANA DO CARIRI";8;8;8;8;8;10;10;10;10;11;12;12;11;11;12;15;16;16;16;16
"231220 SANTA QUITERIA";14;14;17;17;22;25;25;25;23;23;19;21;26;27;27;28;29;31;30;30
"231230 SAO BENEDITO";13;16;24;26;27;31;31;33;38;38;37;42;43;44;50;51;89;93;96;101
"231240 SAO GONCALO DO AMARANTE";8;11;15;17;22;25;24;26;34;36;35;36;38;42;43;45;51;53;56;61
"231250 SAO JOAO DO JAGUARIBE";4;5;5;6;6;6;6;6;6;6;6;6;6;5;5;6;7;7;8;9
"231260 SAO LUIS DO CURU";10;10;8;8;8;11;11;11;12;13;13;13;13;13;13;14;14;14;15;14
"231270 SENADOR POMPEU";17;23;26;28;28;26;25;26;28;28;26;29;29;29;30;30;32;32;33;36
"231280 SENADOR SA";4;4;4;4;4;5;5;5;5;5;5;5;5;5;6;7;8;8;10;10
"231290 SOBRAL";129;139;148;153;128;172;185;195;218;235;239;249;256;264;291;314;368;393;405;424
"231300 SOLONOPOLE";7;8;9;8;8;11;15;15;15;20;21;21;23;22;23;25;29;29;29;30
"231310 TABULEIRO DO NORTE";13;19;20;20;21;25;24;24;24;24;24;21;27;27;28;28;36;39;39;40
"231320 TAMBORIL";10;14;14;14;14;15;15;15;15;15;16;19;20;20;20;21;22;23;23;25
"231325 TARRAFAS";2;3;3;3;3;6;5;6;6;7;7;7;7;6;6;6;6;6;6;6
"231330 TAUA";48;54;57;63;63;65;73;74;76;77;58;56;60;64;68;73;77;75;75;84
"231335 TEJUCUOCA";12;12;9;9;9;10;14;14;14;14;16;16;16;16;17;23;23;24;25;25
"231340 TIANGUA";22;34;46;52;57;59;62;62;66;69;72;76;76;80;71;57;67;74;77;92
"231350 TRAIRI";16;19;16;17;17;23;23;22;25;25;25;24;26;28;28;30;39;40;40;44
"231355 TURURU";4;4;5;5;7;8;7;8;10;10;12;11;11;11;11;10;10;10;10;10
"231360 UBAJARA";19;19;21;21;23;27;30;29;29;29;27;28;28;28;28;31;34;36;38;39
"231370 UMARI";5;5;4;4;4;5;6;6;6;7;7;6;6;6;6;7;10;11;12;12
"231375 UMIRIM";6;7;7;7;7;9;11;11;15;15;16;15;15;14;14;13;11;11;12;12
"231380 URUBURETAMA";9;12;12;14;15;16;15;15;17;19;21;19;19;19;18;19;19;21;20;19
"231390 URUOCA";6;6;6;6;7;8;9;9;10;10;10;12;13;13;13;13;13;16;16;18
"231395 VARJOTA";5;5;6;6;9;10;10;12;12;12;10;10;12;12;11;12;15;16;20;23
"231400 VARZEA ALEGRE";16;23;22;24;27;27;27;27;28;27;32;32;31;33;32;34;35;33;34;41
"231410 VICOSA DO CEARA";27;29;30;29;29;30;30;33;37;35;30;31;30;32;35;34;35;36;37;43
"Total";4250;5254;5734;6517;7383;8066;8506;8892;9510;10091;10276;10689;11322;11896;12270;12650;13422;14041;14375;15132
 
